Lp,Label,(%Miss),C1,C2,C3,C4,C5,Blank,Region,RegionSmall
39,H340,-1,0,0,0,0.207,0.793,0,Europe,EuropeWS
40,BP14,0,0,0,0.705,0,0.295,0,Europe,EuropeWS
41,V19,-1,0.001,0.185,0.808,0.001,0.004,0,Asia,Euroasia
42,DDS296,-1,0,0,0,0.894,0.106,0,Namerica,Canada
43,H276,-2,0,0,1,0,0,0,Europe,EuropeWS
44,C115,0,0,0,0,1,0,0,Namerica,USA
45,H312,0,0,0,0,0.26,0.74,0,Europe,EuropeWS
46,04_55,-1,0,0,0,0,1,0,Namerica,USA
47,P114,0,0,0,1,0,0,0,Europe,EuropeES
48,H294,0,0,0,1,0,0,0,Europe,EuropeUK
49,H623,-1,0,0,0,0,1,0,Europe,EuropeUK
50,DDS82,0,0,0,0,0.723,0.276,0,Namerica,Canada
51,NZFS184C,0,0,0,0,0,1,0,NewZealand,NewZealand
52,TB2,0,0,0,0,1,0,0,Namerica,Canada
53,H239,-1,0,0,0,1,0,0,Europe,EuropeWS
54,TB5,0,0,0,0,1,0,0,Namerica,Canada
55,DDS241,0,0,0,0,0.252,0.747,0,Namerica,Canada
56,DDS100,0,0,0,0,0.348,0.652,0,Namerica,Canada
57,BP18,0,0,0,0,0.562,0.438,0,Europe,EuropeWS
58,ES130,-1,0.001,0.072,0.086,0.409,0.432,0,Europe,EuropeWS
59,NZFS601,0,0,0,0,0,1,0,NewZealand,NewZealand
60,DDS170,-1,0,0,0,1,0,0,Namerica,Canada
61,AT146,0,0,0,0.647,0,0.352,0,Europe,EuropeWS
62,DDS154,-1,0,0,0,1,0,0,Namerica,Canada
63,DDS257,0,0,0,0.704,0,0.295,0,Namerica,Canada
64,04_544,0,0,0,0,1,0,0,Namerica,USA
65,H346,0,0,0,1,0,0,0,Europe,EuropeWS
66,782401,0,0,0,0,0,0.999,0,Europe,EuropeWS
67,H2091,-1,0,0,0,0,1,0,Namerica,USA
68,H328,0,0.001,0.258,0.411,0.157,0.173,0,Asia,Euroasia
69,H234D,0,0,0,0,0,1,0,Europe,EuropeWS
70,C513,0,0,0,0,1,0,0,Namerica,USA
71,C514,0,0,0,0,1,0,0,Namerica,USA
72,04_56,-1,0,0,0,1,0,0,Namerica,USA
73,US137,-1,0,0,0,0.001,0.998,0,Namerica,USA
74,785401,0,0,0,0,0,0,1,NA,NA
75,H1018,0,0,0,0,0,0,1,NA,NA
76,H1021,0,0,0,0,0,0,1,NA,NA
77,H1022,0,0,0,0,0,0,1,NA,NA
78,H1096,0,0,0,0,0,0,1,NA,NA
79,H2062,0,0,0,0,0,0,1,NA,NA
80,H337,0,0,0,0,0,0,1,NA,NA
81,H359,0,0,0,0,0,0,1,NA,NA
82,H379,0,0,0,0,0,0,1,NA,NA
83,H649,0,0,0,0,0,0,1,NA,NA
84,H809,0,0,0,0,0,0,1,NA,NA
85,H864,0,0,0,0,0,0,1,NA,NA
86,H868,0,0,0,0,0,0,1,NA,NA
87,H871,0,0,0,0,0,0,1,NA,NA
88,H872,0,0,0,0,0,0,1,NA,NA
89,H873,0,0,0,0,0,0,1,NA,NA
90,H909,0,0,0,0,0,0,1,NA,NA
91,H924,0,0,0,0,0,0,1,NA,NA
92,I131,0,0,0,0,0,0,1,NA,NA
93,I185,0,0,0,0,0,0,1,NA,NA
94,PG40,0,0,0,0,0,0,1,NA,NA
