"LD1" "LD2"
"10.R69" -16.8938033129438 0.543134541210506
"11.R22" -15.9621562914421 0.315177575664424
"12.DDS202" 10.2529680963324 4.46137155349012
"14.H2095" 8.07763131555263 -6.72310247675213
"15.H986" -16.2975377223619 0.205181296316299
"16.04_51" 10.5768345990874 4.59998848098304
"17.04_58" 10.3745892511711 4.51582848410951
"18.H295" 8.81420903048746 -6.18000504642135
"19.H260" -16.9884174531376 0.550305811012496
"20.H648" -16.9312815171491 0.534642976803955
"21.C510" 10.0206319566937 4.38449191434448
"22.H371" -17.4459850781242 0.335074393510362
"23.H618" 9.67641462454087 -6.69486031283203
"24.TR88" -16.3050546346267 0.349350105712992
"25.H2098" 8.25871453908259 5.78101035739826
"27.AT83" -15.7504379218027 0.349235774453523
"28.04_52" 10.1614939628708 1.12371113614954
"29.04_65" 9.35656964066713 2.80551088931497
"2.H2083" 10.2871027860575 4.48836207703543
"31.TR67" -16.9477186622772 0.535242517557177
"33.H248" 10.2823117590928 4.47824203042175
"34.C511" 10.3534425735619 4.53587838797412
"36.DDS239" 11.4521106047716 -2.93819981590287
"37.H2086" 10.4493340840011 4.5424149949092
"38.R108" -13.9150436051972 -0.621838547123934
"39.DDS93" 8.57372084175193 -7.16965922561236
"3.H332" -16.9220496653532 0.539591093659356
"40.Yu141" -15.8779626609879 -0.186551054818077
"45.CKT4" -16.9829793470305 0.548881138160406
"47.V14" -15.520483577613 -0.166686233965365
"48.DDS81" 8.87818131359072 -7.2162007455339
"4.Yu16" -12.9711426818509 -0.584693399591019
"50.H413a" -14.7943127698184 0.231512010287319
"51.DDS298" 9.97970339034696 3.26164172268443
"52.04_54" 9.44676907685271 1.92690935706737
"53.DDS25" 9.94952408226914 4.12117808256458
"55.P122" -16.1492984308443 0.250292572233951
"56.H323" -16.7880473951144 0.0454112802906739
"57.H340" 9.71089731285727 -3.90012387575819
"58.BP14" -14.8617653166086 0.220132956419592
"59.V19" -16.3375976512623 0.553233849198949
"5.DDS296" 11.1582689547566 1.58741258117084
"60.H276" -15.4901270216202 0.420884059779522
"61.C115" 10.4061852821001 4.50514306795381
"63.H312" 10.3497281881242 -5.4749433206498
"64.04_55" 8.04836011529148 -6.67400298749759
"65.P114" -16.8656312142049 0.563787525438739
"66.H294" -16.9761414420748 0.547651719244442
"67.H623" 8.02924419784304 -6.71387151001361
"68.DDS82" 11.4072330483201 3.3900798086746
"6.NZFS184C" 8.24514985400774 -6.92498568317471
"71.TB2" 10.3684165236705 4.51854477309841
"72.H239" 10.2272736700549 4.4868077639501
"74.TB5" 10.5747778650441 4.60622511239941
"76.DDS241" 6.57126640920352 -4.09560562747618
"77.DDS100" 8.94463166290043 -4.85203884356465
"78.BP18" 8.62381348890167 -2.90644948516482
"79.ES130" 8.57011022636698 -6.01712774311416
"7.NZFS601" 8.26210772701063 -6.91585741774442
"80.DDS170" 9.98385543001017 4.14953291088911
"81.AT146" -12.8366871438084 -0.412090683057761
"83.DDS154" 10.2249187747304 4.47865883628576
"84.DDS257" -14.8793375141949 0.223204048694829
"85.04_544" 10.5758373827648 4.60141139190979
"86.H346" -16.9766743194888 0.542105130576595
"88.782401" 8.45082197873019 -6.25042023623958
"89.H2091" 7.09117504188057 -7.18810889156583
"90.H328" -16.0221722485695 0.266288230585345
"92.H234D" 8.24515549403472 -6.90379657933171
"93.C513" 10.5492259659951 4.60063006381065
"94.C514" 10.5696491950383 4.59791438308889
"96.04_56" 10.2794852810874 4.49199897441645
