Ind	SpeciesID	SpeciesID	PCA1	PCA2	Group	Gr	SpeciesID	LEN_org	Name	LEN_Name	GeoGroup	PopGeo	SpName	NameBam	VcfOrder_calmd	LD1	LD2	Gr	GroupSamtools	SamName	GroupPCA1	GroupPCA2	GroupPCA_testULM	Region
51	HI.4257.001.BioOHT_7.NZFS601_aln-pe.sorted	HI.4257.001.BioOHT_7.NZFS601_calmd.bam	-10.8520157	0.9908859	ame1	A1	NZFS601	7	NZFS601_A1	10	Z	A1Z	NZFS601	7.NZFS601	75	8.26210772701063	-6.91585741774442	2	A1	NZFS601_A1	A1	A1	A1	NZ
97	HI.4257.001.BioOHT_97.US137_aln-pe.sorted	HI.4257.001.BioOHT_97.US137_calmd.bam	0	0	ameSL	ASL	US137	5	US137_A	7	A	ASLA	US137	97.US137	93	0	0	2	A1	US137_A1	A1Hyb1	A1Hyb2	A1Hyb1	NA
89	HI.4257.001.BioOHT_16.04_51_aln-pe.sorted	HI.4257.001.BioOHT_16.04_51_calmd.bam	5.9263798	0.5323161	ame2	A2	04_51	5	04_51_A2	8	A	A2A	04_51	16.04_51	7	10.5768345990874	4.59998848098304	3	A2	04_51_A2	A2	A2	A2	NA
69	HI.4257.001.BioOHT_28.04_52_aln-pe.sorted	HI.4257.001.BioOHT_28.04_52_calmd.bam	1.9773548	0.3905773	ame2	A2	04_52	5	04_52_A2	8	A	A2A	04_52	28.04_52	20	10.1614939628708	1.12371113614954	3	A2	04_52_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
70	HI.4257.001.BioOHT_52.04_54_aln-pe.sorted	HI.4257.001.BioOHT_52.04_54_calmd.bam	2.3294075	0.1280881	ame2	A2	04_54	5	04_54_A2	8	A	A2A	04_54	52.04_54	45	9.44676907685271	1.92690935706737	3	A2	04_54_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
92	HI.4257.001.BioOHT_85.04_544_aln-pe.sorted	HI.4257.001.BioOHT_85.04_544_calmd.bam	5.9337925	0.5357518	ame2	A2	04_544	6	04_544_A2	9	A	A2A	04_544	85.04_544	81	10.5758373827648	4.60141139190979	3	A2	04_544_A2	A2	A2	A2	NA
77	HI.4257.001.BioOHT_96.04_56_aln-pe.sorted	HI.4257.001.BioOHT_96.04_56_calmd.bam	4.8958357	0.5636547	ame2	A2	04_56	5	04_56_A2	8	A	A2A	04_56	96.04_56	92	10.2794852810874	4.49199897441645	3	A2	04_56_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
80	HI.4257.001.BioOHT_17.04_58_aln-pe.sorted	HI.4257.001.BioOHT_17.04_58_calmd.bam	5.3146737	0.4283217	ame2	A2	04_58	5	04_58_A2	8	A	A2A	04_58	17.04_58	8	10.3745892511711	4.51582848410951	3	A2	04_58_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
73	HI.4257.001.BioOHT_29.04_65_aln-pe.sorted	HI.4257.001.BioOHT_29.04_65_calmd.bam	3.9661683	0.5059635	ame2	A2	04_65	5	04_65_A2	8	A	A2A	04_65	29.04_65	21	9.35656964066713	2.80551088931497	3	A2	04_65_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
86	HI.4257.001.BioOHT_61.C115_aln-pe.sorted	HI.4257.001.BioOHT_61.C115_calmd.bam	5.6193373	0.5411736	ame2	A2	C115	4	C115_A2	7	A	A2A	C115	61.C115	55	10.4061852821001	4.50514306795381	3	A2	C115_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
72	HI.4257.001.BioOHT_21.C510_aln-pe.sorted	HI.4257.001.BioOHT_21.C510_calmd.bam	3.5555363	0.2437554	ame2	A2	C510	4	C510_A2	7	A	A2A	C510	21.C510	13	10.0206319566937	4.38449191434448	3	A2	C510_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
82	HI.4257.001.BioOHT_34.C511_aln-pe.sorted	HI.4257.001.BioOHT_34.C511_calmd.bam	5.4380253	0.5006324	ame2	A2	C511	4	C511_A2	7	A	A2A	C511	34.C511	27	10.3534425735619	4.53587838797412	3	A2	C511_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
88	HI.4257.001.BioOHT_93.C513_aln-pe.sorted	HI.4257.001.BioOHT_93.C513_calmd.bam	5.9085426	0.5171379	ame2	A2	C513	4	C513_A2	7	A	A2A	C513	93.C513	89	10.5492259659951	4.60063006381065	3	A2	C513_A2	A2	A2	A2	NA
90	HI.4257.001.BioOHT_94.C514_aln-pe.sorted	HI.4257.001.BioOHT_94.C514_calmd.bam	5.9263798	0.5323161	ame2	A2	C514	4	C514_A2	7	A	A2A	C514	94.C514	90	10.5696491950383	4.59791438308889	3	A2	C514_A2	A2	A2	A2	NA
74	HI.4257.001.BioOHT_83.DDS154_aln-pe.sorted	HI.4257.001.BioOHT_83.DDS154_calmd.bam	4.665327	0.3832264	ame2	A2	DDS154	6	DDS154_A2	9	A	A2A	DDS154	83.DDS154	79	10.2249187747304	4.47865883628576	3	A2	DDS154_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
84	HI.4257.001.BioOHT_80.DDS170_aln-pe.sorted	HI.4257.001.BioOHT_80.DDS170_calmd.bam	5.5271255	0.528053	ame2	A2	DDS170	6	DDS170_A2	9	A	A2A	DDS170	80.DDS170	76	9.98385543001017	4.14953291088911	3	A2	DDS170_A2	A2Hyb1	A2Hyb2	A2Hyb1	NA
75	HI.4257.001.BioOHT_12.DDS202_aln-pe.sorted	HI.4257.001.BioOHT_12.DDS202_calmd.bam	4.7699772	0.4417025	ame2	A2	DDS202	6	DDS202_A2	9	A	A2A	DDS202	12.DDS202	3	10.2529680963324	4.46137155349012	3	A2	DDS202_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
81	HI.4257.001.BioOHT_53.DDS25_aln-pe.sorted	HI.4257.001.BioOHT_53.DDS25_calmd.bam	5.3604691	0.4616779	ame2	A2	DDS25	5	DDS25_A2	8	A	A2A	DDS25	53.DDS25	46	9.94952408226914	4.12117808256458	3	A2	DDS25_A2	A2Hyb1	A2Hyb2	A2Hyb1	NA
71	HI.4257.001.BioOHT_5.DDS296_aln-pe.sorted	HI.4257.001.BioOHT_5.DDS296_calmd.bam	2.4767286	0.4855142	ame2	A2	DDS296	6	DDS296_A2	9	A	A2A	DDS296	5.DDS296	53	11.1582689547566	1.58741258117084	3	A2	DDS296_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
83	HI.4257.001.BioOHT_51.DDS298_aln-pe.sorted	HI.4257.001.BioOHT_51.DDS298_calmd.bam	5.4476764	0.6836655	ame2	A2	DDS298	6	DDS298_A2	9	A	A2A	DDS298	51.DDS298	44	9.97970339034696	3.26164172268443	3	A2	DDS298_A2	A2Hyb1	A2Hyb2	A2Hyb1	NA
68	HI.4257.001.BioOHT_68.DDS82_aln-pe.sorted	HI.4257.001.BioOHT_68.DDS82_calmd.bam	0.9898066	0.3185598	ame2	A2	DDS82	5	DDS82_A2	8	A	A2A	DDS82	68.DDS82	62	11.4072330483201	3.3900798086746	3	A2	DDS82_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
78	HI.4257.001.BioOHT_2.H2083_aln-pe.sorted	HI.4257.001.BioOHT_2.H2083_calmd.bam	4.9101467	0.6133702	ame2	A2	H2083	5	H2083_A2	8	A	A2A	H2083	2.H2083	22	10.2871027860575	4.48836207703543	3	A2	H2083_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
87	HI.4257.001.BioOHT_37.H2086_aln-pe.sorted	HI.4257.001.BioOHT_37.H2086_calmd.bam	5.7909029	0.5398368	ame2	A2	H2086	5	H2086_A2	8	A	A2A	H2086	37.H2086	30	10.4493340840011	4.5424149949092	3	A2	H2086_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
93	HI.4257.001.BioOHT_25.H2098_aln-pe.sorted	HI.4257.001.BioOHT_25.H2098_calmd.bam	6.0236842	0.9284636	ame2	A2	H2098	5	H2098_A2	8	A	A2A	H2098	25.H2098	17	8.25871453908259	5.78101035739826	3	A2	H2098_A2	A2Hyb1	A2Hyb2	A2Hyb1	NA
