#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
93912	0	65520	75159	0	0	0	0	0	0	0	0	60249	0	0
207543	0	65520	11361	0	0	0	0	0	0	0	0	10416	0	0
235115	45760	0	11340	0	0	0	0	0	0	0	0	2625	0	0
207039	0	65520	10374	0	0	0	0	0	0	0	0	11907	0	0
215103	0	65520	6111	0	0	0	0	0	0	0	0	8106	0	0
143304	0	65520	22365	0	0	0	0	0	0	0	0	63651	0	0
210903	0	65520	17556	0	0	0	0	0	0	0	0	861	0	0
91308	0	65520	66129	0	0	0	0	0	0	0	0	71883	0	0
206556	0	65520	13818	0	0	0	0	0	0	0	0	8946	0	0
205170	0	65520	23394	0	0	0	0	0	0	0	0	756	0	0
86412	22500	24438	462	3438	23100	0	144	756	23375	4400	105050	0	0	765
6263	102527	24560	462	5500	22225	25823	0	7595	22045	0	180	0	75565	2095
81165	18900	33663	0	3213	23100	0	0	756	34650	0	98175	84	0	1134
103782	0	65520	15267	0	0	0	0	0	0	0	0	110271	0	0
70686	0	65520	121443	0	0	0	0	0	0	0	0	37191	0	0
70728	0	65520	154455	0	0	0	0	0	0	0	0	4137	0	0
19677	0	251160	12054	0	0	0	0	0	0	0	0	11949	0	0
19488	185640	65520	12264	0	0	0	0	0	0	0	0	11928	0	0
205002	0	65520	12264	0	0	0	0	0	0	0	0	12054	0	0
103866	0	65520	15246	0	0	0	0	0	0	0	0	110208	0	0
75327	0	65520	20874	0	0	0	0	0	0	0	0	133119	0	0
71883	0	65520	154455	0	0	0	0	0	0	0	0	2982	0	0
79380	0	65520	17220	0	0	0	0	0	0	0	0	132720	0	0
40761	0	65520	32697	0	0	0	0	0	0	0	0	155862	0	0
79227	20280	3120	41643	0	0	0	0	0	0	0	0	150570	0	0
41979	0	65520	31227	0	0	0	0	0	0	0	0	156114	0	0
48851	7800	47320	32739	0	0	0	0	0	0	0	0	158130	0	0
71841	0	65520	24507	0	0	0	0	0	0	0	0	132972	0	0
75390	0	65520	20958	0	0	0	0	0	0	0	0	132972	0	0
273	88200	30744	420	0	17325	0	3402	567	37800	103950	0	0	11025	1134
76425	23730	41220	12327	234	3300	11970	1104	108	1650	31350	0	82980	8250	192
2131	83865	23871	1243	19112	11749	88526	6696	4575	634	600	1708	1723	45060	3347
3480	95154	24516	378	8271	11685	80726	22	4528	675	975	1220	834	41740	20636
72456	54462	6663	84	2889	11550	378	1404	378	1650	42900	88275	147	11550	54
80325	19362	33663	420	3213	11550	378	0	378	34650	0	98175	42	11550	1134
97539	10290	27330	4659	2430	8250	135	0	270	24750	0	74250	40002	4125	810
85218	14406	33894	168	3402	11550	189	0	378	34650	0	103950	126	5775	1134
43743	9450	34125	20181	3591	11550	0	0	378	34650	0	109725	26313	0	1134
41685	0	65520	43533	0	0	0	0	0	0	0	0	144102	0	0
64092	0	65520	42525	0	0	0	0	0	0	0	0	122703	0	0
25599	4158	48867	15771	11550	3213	0	5775	98175	1323	189	378	39417	0	40425
103656	0	65520	21147	0	0	0	0	0	0	0	0	104517	0	0
