#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
830844	0	0	51408	0	0	0	0	0	0	0	0	2268	0	0
857367	0	0	22428	0	0	0	0	0	0	0	0	4725	0	0
856548	0	0	25263	0	0	0	0	0	0	0	0	2709	0	0
857304	0	0	25704	0	0	0	0	0	0	0	0	1512	0	0
177030	0	0	87570	0	0	0	0	0	0	0	0	619920	0	0
827064	0	0	49644	0	0	0	0	0	0	0	0	7812	0	0
75978	0	0	68796	0	0	0	0	0	0	0	0	739746	0	0
163422	0	0	32445	0	0	0	0	0	0	0	0	688653	0	0
768474	0	0	25956	0	0	0	0	0	0	0	0	90090	0	0
768285	0	0	24003	0	0	0	0	0	0	0	0	92232	0	0
840420	0	0	32319	0	0	0	0	0	0	0	0	11781	0	0
859068	0	0	23751	0	0	0	0	0	0	0	0	1701	0	0
856737	0	0	26271	0	0	0	0	0	0	0	0	1512	0	0
857115	0	0	22617	0	0	0	0	0	0	0	0	4788	0	0
853461	0	0	24822	0	0	0	0	0	0	0	0	6237	0	0
812637	0	0	24948	0	0	0	0	0	0	0	0	46935	0	0
95130	0	0	129276	0	0	0	0	0	0	0	0	660114	0	0
855288	0	0	24948	0	0	0	0	0	0	0	0	4284	0	0
857304	0	0	25704	0	0	0	0	0	0	0	0	1512	0	0
193662	0	0	653436	0	0	0	0	0	0	0	0	37422	0	0
834750	0	0	46242	0	0	0	0	0	0	0	0	3528	0	0
882882	0	0	0	0	0	0	0	0	0	0	0	1638	0	0
855225	0	0	24822	0	0	0	0	0	0	0	0	4473	0	0
855036	0	0	27720	0	0	0	0	0	0	0	0	1764	0	0
859446	0	0	24192	0	0	0	0	0	0	0	0	882	0	0
854910	0	0	27279	0	0	0	0	0	0	0	0	2331	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
856737	0	0	26019	0	0	0	0	0	0	0	0	1764	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
830844	0	0	51408	0	0	0	0	0	0	0	0	2268	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
856548	0	0	24318	0	0	0	0	0	0	0	0	3654	0	0
856737	0	0	26019	0	0	0	0	0	0	0	0	1764	0	0
855288	0	0	27405	0	0	0	0	0	0	0	0	1827	0	0
881244	0	0	1638	0	0	0	0	0	0	0	0	1638	0	0
140616	0	0	138096	0	0	0	0	0	0	0	0	605808	0	0
826560	0	0	49329	0	0	0	0	0	0	0	0	8631	0	0
240408	0	0	606942	0	0	0	0	0	0	0	0	37170	0	0
48888	39312	3528	1197	0	628992	0	0	3276	29106	117936	9828	2331	0	126
88452	0	0	144396	0	0	0	0	0	0	0	0	651672	0	0
699426	0	0	174510	0	0	0	0	0	0	0	0	10584	0	0
68166	753480	0	51093	0	0	0	0	0	0	0	0	11781	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
4032	615825	0	42714	2142	4284	26775	0	0	378	756	8694	2520	176400	0
822402	0	0	57519	0	0	0	0	0	0	0	0	4599	0	0
197316	0	0	672714	0	0	0	0	0	0	0	0	14490	0	0
820008	0	0	63504	0	0	0	0	0	0	0	0	1008	0	0
820575	0	0	60732	0	0	0	0	0	0	0	0	3213	0	0
120141	0	0	55125	0	0	0	0	0	0	0	0	709254	0	0
825678	0	0	54810	0	0	0	0	0	0	0	0	4032	0	0
820008	0	0	63504	0	0	0	0	0	0	0	0	1008	0	0
84393	6192	43416	260526	388824	32688	0	0	31404	0	0	6192	30885	0	0
737100	0	0	137592	0	0	0	0	0	0	0	0	9828	0	0
98280	0	0	55692	0	0	0	0	88452	0	0	0	642096	0	0
39564	3276	0	1386	0	55692	3276	0	40950	0	0	737100	0	3276	0
127764	0	0	725382	0	0	0	0	0	0	0	0	31374	0	0
2772	0	127764	756	55692	0	0	668304	27846	0	0	0	1386	0	0
853839	0	0	504	0	0	0	0	0	0	0	0	30177	0	0
878094	0	0	1260	0	0	0	0	0	0	0	0	5166	0	0
853020	0	0	10080	0	0	0	0	0	0	0	0	21420	0	0
853020	0	0	0	0	0	0	0	0	0	0	0	31500	0	0
853020	0	0	0	0	0	0	0	0	0	0	0	31500	0	0
851760	0	0	0	0	0	0	0	0	0	0	0	32760	0	0
819000	0	0	32760	0	0	0	0	0	0	0	0	32760	0	0
1638	0	819000	3276	0	0	0	0	0	0	0	0	60606	0	0
1638	819000	32760	0	0	0	0	0	0	0	0	0	31122	0	0
122877	0	730080	441	0	0	0	0	0	0	0	0	31122	0	0
3717	766584	0	378	0	0	85176	0	3276	0	0	0	25389	0	0
756441	0	0	35532	0	0	0	0	0	0	0	0	92547	0	0
856044	0	0	504	0	0	0	0	0	0	0	0	27972	0	0
813960	0	0	42903	0	0	0	0	0	0	0	0	27657	0	0
796257	0	0	61551	0	0	0	0	0	0	0	0	26712	0	0
187740	0	0	642096	0	0	0	0	0	0	0	0	54684	0	0
779940	0	0	44226	0	0	0	0	0	0	0	0	60354	0	0
783153	0	0	45612	0	0	0	0	0	0	0	0	55755	0	0
285768	0	0	23814	0	0	0	0	0	0	0	0	574938	0	0
264978	0	0	596610	0	0	0	0	0	0	0	0	22932	0	0
858690	0	0	2331	0	0	0	0	0	0	0	0	23499	0	0
858060	0	0	2709	0	0	0	0	0	0	0	0	23751	0	0
872046	0	0	4662	0	0	0	0	0	0	0	0	7812	0	0
206451	0	0	303471	0	0	0	0	0	0	0	0	374598	0	0
148050	0	0	9891	0	0	0	0	0	0	0	0	726579	0	0
825741	0	0	1638	0	0	0	0	0	0	0	0	57141	0	0
825867	0	0	5922	0	0	0	0	0	0	0	0	52731	0	0
771120	65520	32760	0	0	0	0	0	0	0	0	0	15120	0	0
822591	32760	0	2772	0	0	0	0	0	0	0	0	26397	0	0
831852	0	0	1953	0	0	0	0	0	0	0	0	50715	0	0
826686	0	0	49392	0	0	0	0	0	0	0	0	8442	0	0
860643	0	0	22554	0	0	0	0	0	0	0	0	1323	0	0
827694	0	0	29421	0	0	0	0	0	0	0	0	27405	0	0
36099	32760	786240	4095	0	0	0	0	0	0	0	0	25326	0	0
247086	0	0	75663	0	0	0	0	0	0	0	0	561771	0	0
853965	0	0	4725	0	0	0	0	0	0	0	0	25830	0	0
853713	0	0	26838	0	0	0	0	0	0	0	0	3969	0	0
854154	0	0	2394	0	0	0	0	0	0	0	0	27972	0	0
497115	0	24336	162681	0	0	0	0	312	8112	0	312	183540	0	8112
878976	0	0	1134	0	0	0	0	0	0	0	0	4410	0	0
854532	0	0	2898	0	0	0	0	0	0	0	0	27090	0	0
311472	0	0	16128	0	0	0	0	0	0	0	0	556920	0	0
851949	0	0	7812	0	0	0	0	0	0	0	0	24759	0	0
722799	0	0	5166	0	0	0	0	0	0	0	0	156555	0	0
310905	0	0	535311	0	0	0	0	0	0	0	0	38304	0	0
313299	0	0	13230	0	0	0	0	0	0	0	0	557991	0	0
768663	0	0	88830	0	0	0	0	0	0	0	0	27027	0	0
31059	0	737100	4536	0	0	0	0	6552	0	0	0	23373	0	81900
45360	0	786240	24570	0	0	0	0	0	0	0	0	28350	0	0
855351	0	0	2898	0	0	0	0	0	0	0	0	26271	0	0
854469	0	0	4095	0	0	0	0	0	0	0	0	25956	0	0
855351	0	0	3339	0	0	0	0	0	0	0	0	25830	0	0
854280	0	0	4221	0	0	0	0	0	0	0	0	26019	0	0
170478	32760	0	568386	0	0	0	0	0	0	0	0	112896	0	0
878976	0	0	1134	0	0	0	0	0	0	0	0	4410	0	0
852957	0	0	1260	0	0	0	0	0	0	0	0	30303	0	0
856674	0	0	2205	0	0	0	0	0	0	0	0	25641	0	0
852768	0	0	2457	0	0	0	0	0	0	0	0	29295	0	0
853839	0	0	504	0	0	0	0	0	0	0	0	30177	0	0
851508	0	0	3402	0	0	0	0	0	0	0	0	29610	0	0
792666	0	0	55818	0	0	0	0	0	0	0	0	36036	0	0
878976	0	0	1134	0	0	0	0	0	0	0	0	4410	0	0
87444	0	0	378	0	0	0	0	0	0	0	796068	630	0	0
